код_сотрудник,код_курс,должность,отдел,пол,возраст,опыт_работы,оценка_итог,статус
студент_112,курс_2,Рекрутер,Отдел кадров,муж,33,25,75.56218905472637,прошел курс
студент_113,курс_2,Специалист по закупкам,Отдел закупок,жен,48,23,74.13764510779436,прошел курс
студент_114,курс_2,Начальник отдела,Отдел IT,муж,31,22,74.46932006633499,прошел курс
студент_115,курс_2,Начальник отдела,Отдел кадров,муж,25,10,,не закончил
студент_116,курс_2,Инспектор по кадрам,Отдел кадров,жен,46,16,75.09121061359868,прошел курс
студент_117,курс_2,Логист,Отдел закупок,муж,37,16,75.84908789386401,прошел курс
студент_118,курс_2,Рекрутер,Отдел кадров,муж,29,24,74.9436152570481,прошел курс
студент_119,курс_2,Начальник отдела,Отдел кадров,муж,24,10,73.93200663349917,прошел курс
студент_120,курс_2,Специалист по обучению,Отдел кадров,муж,25,11,74.51243781094527,прошел курс
студент_121,курс_2,Торговый представитель,Отдел продаж,жен,54,5,75.65837479270316,прошел курс
студент_122,курс_2,Техник,Отдел производства,муж,48,25,74.44112769485903,прошел курс
студент_123,курс_2,Аналитик продаж,Отдел продаж,жен,31,10,75.50082918739635,прошел курс
студент_124,курс_2,Специалист по рекламе,Отдел продаж,жен,47,5,74.82918739635157,прошел курс
студент_125,курс_2,Аналитик продаж,Отдел продаж,жен,43,26,74.66666666666667,прошел курс
студент_126,курс_2,Инспектор,Отдел качества,муж,27,13,74.64344941956882,прошел курс
студент_127,курс_2,Контролер,Отдел качества,муж,25,2,76.285,прошел курс
студент_128,курс_2,Инспектор по кадрам,Отдел кадров,муж,59,18,75.38308457711443,прошел курс
студент_129,курс_2,Кладовщик,Отдел закупок,муж,50,25,75.95688225538971,прошел курс
студент_130,курс_2,Аналитик продаж,Отдел продаж,жен,55,11,74.58055555555555,прошел курс
студент_131,курс_2,Контролер,Отдел качества,жен,29,18,73.54285714285714,прошел курс
студент_132,курс_2,Инженер,Отдел производства,жен,52,27,73.8424543946932,прошел курс
студент_133,курс_2,Системный администратор,Отдел IT,жен,34,4,,не закончил
студент_134,курс_2,Консультант,Отдел продаж,жен,40,30,74.46932006633499,прошел курс
студент_135,курс_2,Начальник отдела,Отдел кадров,жен,41,25,74.81757877280265,прошел курс
студент_136,курс_2,Логист,Отдел закупок,муж,32,13,75.04477611940298,прошел курс
студент_137,курс_2,Техник поддержки,Отдел IT,жен,23,19,,не закончил
студент_138,курс_2,Кладовщик,Отдел закупок,муж,21,28,75.40217391304348,прошел курс
студент_139,курс_2,Менеджер по снабжению,Отдел закупок,муж,52,28,74.67330016583747,прошел курс
студент_140,курс_2,Рекрутер,Отдел кадров,жен,24,5,75.86235489220564,прошел курс
студент_141,курс_2,Торговый представитель,Отдел продаж,муж,20,27,75.24378109452736,прошел курс
студент_142,курс_2,Мастер,Отдел производства,жен,45,24,,не закончил
студент_143,курс_2,Аналитик,Отдел закупок,жен,47,11,,не закончил
студент_144,курс_2,Аналитик,Отдел закупок,муж,29,9,76.11111111111111,прошел курс
студент_145,курс_2,Логист,Отдел закупок,муж,48,22,76.33,прошел курс
студент_146,курс_2,Торговый представитель,Отдел продаж,муж,48,29,75.72139303482587,прошел курс
студент_147,курс_2,Начальник отдела,Отдел качества,жен,27,28,75.29353233830845,прошел курс
студент_148,курс_2,Техник по качеству,Отдел качества,муж,44,12,74.17578772802653,прошел курс
студент_149,курс_2,Контролер,Отдел качества,муж,22,22,75.57379767827528,прошел курс
студент_150,курс_2,Аналитик продаж,Отдел продаж,муж,59,28,74.80928689883913,прошел курс
студент_151,курс_2,Кладовщик,Отдел закупок,жен,44,1,73.22222222222223,прошел курс
студент_152,курс_2,Специалист по обучению,Отдел кадров,муж,36,17,74.33167495854063,прошел курс
студент_153,курс_2,Начальник отдела,Отдел IT,муж,33,22,,не закончил
студент_154,курс_2,Специалист по рекламе,Отдел продаж,муж,30,23,,не закончил
студент_155,курс_2,Менеджер по снабжению,Отдел закупок,жен,28,13,75.09286898839137,прошел курс
студент_156,курс_2,Мастер,Отдел производства,жен,22,29,75.1077943615257,прошел курс
студент_157,курс_2,Инженер по безопасности,Отдел IT,муж,32,13,74.98175787728026,прошел курс
студент_158,курс_2,Логист,Отдел закупок,муж,48,2,,не закончил
студент_159,курс_2,Менеджер по качеству,Отдел качества,муж,23,3,76.18407960199005,прошел курс
студент_160,курс_2,Мастер,Отдел производства,муж,36,12,74.51907131011609,прошел курс
студент_161,курс_2,Мастер,Отдел производства,жен,22,7,74.90381426202322,прошел курс
студент_162,курс_2,Программист,Отдел IT,муж,52,4,74.85572139303483,прошел курс
студент_163,курс_2,Техник,Отдел производства,жен,53,28,76.14262023217248,прошел курс
студент_164,курс_2,Техник по качеству,Отдел качества,муж,34,16,75.5804311774461,прошел курс
студент_165,курс_2,Менеджер по качеству,Отдел качества,муж,47,15,75.37058823529412,прошел курс
студент_166,курс_2,Менеджер по качеству,Отдел качества,муж,39,18,75.26699834162521,прошел курс
студент_167,курс_2,Рабочий,Отдел производства,муж,57,6,76.6334991708126,прошел курс
студент_168,курс_2,Специалист по закупкам,Отдел закупок,муж,27,4,,не закончил
студент_169,курс_2,HR-менеджер,Отдел кадров,жен,45,19,,не закончил
студент_170,курс_2,HR-менеджер,Отдел кадров,муж,45,2,75.19347826086957,прошел курс
студент_171,курс_2,Инспектор,Отдел качества,жен,57,21,75.00663349917082,прошел курс
студент_172,курс_2,Техник поддержки,Отдел IT,муж,46,27,,не закончил
студент_173,курс_2,Техник,Отдел производства,муж,31,4,75.00663349917082,прошел курс
студент_174,курс_2,Техник,Отдел производства,жен,30,14,75.10116086235489,прошел курс
студент_175,курс_2,Аналитик продаж,Отдел продаж,жен,22,5,74.86069651741293,прошел курс
студент_176,курс_2,Начальник отдела,Отдел кадров,муж,44,5,74.71641791044776,прошел курс
студент_177,курс_2,Торговый представитель,Отдел продаж,жен,22,16,74.40464344941957,прошел курс
студент_178,курс_2,Начальник смены,Отдел производства,муж,27,16,73.56716417910448,прошел курс
студент_179,курс_2,Кладовщик,Отдел закупок,жен,59,4,75.08955223880596,прошел курс
студент_180,курс_2,Специалист по обучению,Отдел кадров,муж,49,30,,не закончил
студент_181,курс_2,Аналитик,Отдел закупок,муж,36,21,73.40298507462687,прошел курс
студент_182,курс_2,Начальник отдела,Отдел качества,жен,47,8,74.5240464344942,прошел курс
студент_183,курс_2,HR-менеджер,Отдел кадров,жен,25,15,,не закончил
студент_184,курс_2,Инспектор по кадрам,Отдел кадров,муж,22,27,75.19402985074628,прошел курс
студент_185,курс_2,Менеджер по снабжению,Отдел закупок,жен,25,22,74.93698175787728,прошел курс
студент_186,курс_2,Логист,Отдел закупок,жен,60,11,74.20066334991708,прошел курс
студент_187,курс_2,Начальник отдела,Отдел IT,жен,59,17,74.53067993366501,прошел курс
студент_188,курс_2,HR-менеджер,Отдел кадров,жен,37,3,74.86235489220564,прошел курс
студент_189,курс_2,Кладовщик,Отдел закупок,жен,46,14,75.02155887230514,прошел курс
студент_190,курс_2,Инженер по безопасности,Отдел IT,жен,47,28,75.01160862354892,прошел курс
студент_191,курс_2,Системный администратор,Отдел IT,жен,27,23,75.13101160862355,прошел курс
студент_192,курс_2,Начальник отдела,Отдел кадров,муж,49,17,75.353125,прошел курс
студент_193,курс_2,Специалист по обучению,Отдел кадров,жен,24,10,74.99004975124379,прошел курс
студент_194,курс_2,Рабочий,Отдел производства,жен,33,5,74.58872305140962,прошел курс
студент_195,курс_2,Рекрутер,Отдел кадров,жен,47,1,74.1592039800995,прошел курс
студент_196,курс_2,Начальник отдела,Отдел IT,муж,58,6,75.35323383084577,прошел курс
студент_197,курс_2,Менеджер по качеству,Отдел качества,жен,42,27,73.48258706467662,прошел курс
студент_198,курс_2,Специалист по рекламе,Отдел продаж,жен,38,20,74.92205638474296,прошел курс
студент_199,курс_2,Начальник смены,Отдел производства,жен,57,8,,не закончил
студент_200,курс_2,Менеджер по продажам,Отдел продаж,муж,30,22,76.45439469320067,прошел курс
студент_1,курс_3,Начальник отдела,Отдел IT,жен,30,6,75.94195688225538,прошел курс
студент_2,курс_3,Начальник отдела,Отдел IT,жен,46,21,74.75787728026533,прошел курс
студент_3,курс_3,Консультант,Отдел продаж,жен,24,25,75.04975124378109,прошел курс
студент_4,курс_3,Специалист по обучению,Отдел кадров,жен,41,7,75.11111111111111,прошел курс
студент_5,курс_3,Техник поддержки,Отдел IT,жен,21,9,75.8625,прошел курс
студент_6,курс_3,Рабочий,Отдел производства,муж,36,9,,не закончил
студент_7,курс_3,Начальник отдела,Отдел IT,муж,48,19,74.59535655058043,прошел курс
студент_8,курс_3,Рекрутер,Отдел кадров,муж,31,27,75.11,прошел курс
студент_9,курс_3,Специалист по рекламе,Отдел продаж,муж,41,10,,не закончил
студент_10,курс_3,Контролер,Отдел качества,муж,49,7,74.09950248756219,прошел курс
студент_11,курс_3,Начальник смены,Отдел производства,жен,30,9,74.96683250414594,прошел курс
студент_12,курс_3,HR-менеджер,Отдел кадров,жен,34,1,75.60364842454395,прошел курс
студент_13,курс_3,Инспектор по кадрам,Отдел кадров,муж,40,19,,не закончил
студент_14,курс_3,HR-менеджер,Отдел кадров,муж,35,7,75.95688225538971,прошел курс
студент_15,курс_3,Специалист по рекламе,Отдел продаж,жен,25,20,,не закончил
студент_16,курс_3,Инспектор по кадрам,Отдел кадров,жен,31,16,75.46268656716418,прошел курс
студент_17,курс_3,Системный администратор,Отдел IT,муж,49,29,74.7927031509121,прошел курс
студент_18,курс_3,HR-менеджер,Отдел кадров,жен,60,15,74.45107794361526,прошел курс
студент_19,курс_3,Рекрутер,Отдел кадров,жен,59,1,75.44941956882255,прошел курс
студент_20,курс_3,Менеджер по снабжению,Отдел закупок,жен,51,3,,не закончил
студент_21,курс_3,Торговый представитель,Отдел продаж,жен,34,2,75.1077943615257,прошел курс
студент_22,курс_3,Специалист по обучению,Отдел кадров,муж,20,6,75.56384742951907,прошел курс
студент_23,курс_3,Кладовщик,Отдел закупок,жен,28,26,75.2072968490879,прошел курс
студент_24,курс_3,Инспектор по кадрам,Отдел кадров,муж,48,15,75.7363184079602,прошел курс
студент_25,курс_3,Мастер,Отдел производства,муж,24,27,74.56218905472637,прошел курс
студент_26,курс_3,Рабочий,Отдел производства,жен,23,7,75.19237147595356,прошел курс
студент_27,курс_3,Техник,Отдел производства,жен,43,26,74.70315091210614,прошел курс
студент_28,курс_3,Системный администратор,Отдел IT,муж,41,24,75.61359867330016,прошел курс
студент_29,курс_3,Менеджер по продажам,Отдел продаж,жен,26,10,75.11940298507463,прошел курс
студент_30,курс_3,Рабочий,Отдел производства,жен,34,1,75.14427860696517,прошел курс
студент_31,курс_3,Кладовщик,Отдел закупок,жен,23,25,,не закончил
студент_32,курс_3,Аналитик продаж,Отдел продаж,муж,30,28,,не закончил
студент_33,курс_3,HR-менеджер,Отдел кадров,муж,20,26,73.30182421227197,прошел курс
студент_34,курс_3,Начальник отдела,Отдел кадров,муж,23,30,74.90878938640132,прошел курс
студент_35,курс_3,Начальник отдела,Отдел кадров,муж,56,11,74.23383084577114,прошел курс
студент_36,курс_3,Контролер,Отдел качества,жен,33,9,74.64842454394693,прошел курс
студент_37,курс_3,Программист,Отдел IT,жен,32,23,75.0016583747927,прошел курс
студент_38,курс_3,Консультант,Отдел продаж,жен,31,19,75.14427860696517,прошел курс
студент_39,курс_3,Аналитик продаж,Отдел продаж,муж,30,14,75.8275,прошел курс
студент_40,курс_3,Инспектор по кадрам,Отдел кадров,жен,47,18,76.29187396351576,прошел курс
студент_41,курс_3,Начальник отдела,Отдел IT,муж,51,24,74.6882255389718,прошел курс
студент_42,курс_3,Начальник отдела,Отдел IT,муж,30,17,75.3665008291874,прошел курс
студент_43,курс_3,Инженер,Отдел производства,жен,22,1,74.15833333333333,прошел курс
студент_44,курс_3,Рекрутер,Отдел кадров,жен,29,23,74.96517412935323,прошел курс
студент_45,курс_3,Менеджер по качеству,Отдел качества,жен,45,6,75.88557213930348,прошел курс
студент_46,курс_3,Менеджер по качеству,Отдел качества,жен,42,11,75.86898839137645,прошел курс
студент_47,курс_3,Инженер,Отдел производства,жен,26,14,74.95024875621891,прошел курс
студент_48,курс_3,Системный администратор,Отдел IT,жен,39,13,74.80265339966833,прошел курс
студент_49,курс_3,HR-менеджер,Отдел кадров,жен,53,9,75.36484245439469,прошел курс
студент_50,курс_3,Консультант,Отдел продаж,жен,53,30,,не закончил
студент_51,курс_3,Аналитик,Отдел закупок,жен,47,24,75.06965174129353,прошел курс
студент_52,курс_3,Начальник отдела,Отдел качества,жен,25,1,75.58540630182421,прошел курс
студент_53,курс_3,Аналитик,Отдел закупок,жен,22,19,73.27916666666667,прошел курс
студент_54,курс_3,Менеджер по снабжению,Отдел закупок,жен,40,24,75.21890547263682,прошел курс
студент_55,курс_3,Специалист по рекламе,Отдел продаж,жен,42,14,75.62354892205639,прошел курс
студент_56,курс_3,Начальник смены,Отдел производства,муж,29,28,,не закончил
студент_57,курс_3,Аналитик продаж,Отдел продаж,жен,30,14,76.56882255389718,прошел курс
студент_58,курс_3,Инспектор по кадрам,Отдел кадров,муж,25,16,75.4776119402985,прошел курс
студент_59,курс_3,Кладовщик,Отдел закупок,муж,52,16,75.25704809286898,прошел курс
студент_60,курс_3,Специалист по обучению,Отдел кадров,жен,39,19,,не закончил
студент_61,курс_3,HR-менеджер,Отдел кадров,муж,47,16,75.26865671641791,прошел курс
студент_62,курс_3,Техник поддержки,Отдел IT,жен,60,22,75.5240464344942,прошел курс
студент_63,курс_3,Специалист по обучению,Отдел кадров,жен,58,23,74.41791044776119,прошел курс
студент_64,курс_3,Менеджер по продажам,Отдел продаж,жен,55,6,75.17412935323384,прошел курс
студент_65,курс_3,Аналитик,Отдел закупок,муж,33,30,75.15,прошел курс
студент_66,курс_3,Рабочий,Отдел производства,жен,38,18,75.21890547263682,прошел курс
студент_67,курс_3,Системный администратор,Отдел IT,муж,38,23,75.07131011608624,прошел курс
студент_68,курс_3,Менеджер по продажам,Отдел продаж,муж,30,30,74.25207296849088,прошел курс
студент_69,курс_3,Мастер,Отдел производства,жен,25,12,74.18242122719735,прошел курс
студент_70,курс_3,Начальник отдела,Отдел кадров,муж,57,13,74.66003316749585,прошел курс
студент_71,курс_3,Инспектор,Отдел качества,жен,50,13,74.61691542288557,прошел курс
студент_72,курс_3,Начальник отдела,Отдел IT,муж,57,4,75.33665008291874,прошел курс
студент_73,курс_3,Инженер,Отдел производства,жен,49,12,73.45273631840796,прошел курс
студент_74,курс_3,Инспектор по кадрам,Отдел кадров,муж,24,6,75.17081260364843,прошел курс
студент_75,курс_3,Аналитик продаж,Отдел продаж,жен,46,7,75.38142620232172,прошел курс
студент_76,курс_3,Логист,Отдел закупок,жен,29,10,75.15384615384616,прошел курс
студент_77,курс_3,Системный администратор,Отдел IT,жен,51,8,74.7412935323383,прошел курс
студент_78,курс_3,Техник поддержки,Отдел IT,муж,41,7,74.72139303482587,прошел курс
студент_79,курс_3,Инспектор,Отдел качества,муж,33,26,74.08457711442786,прошел курс
студент_80,курс_3,Начальник отдела,Отдел качества,жен,46,26,75.51575456053068,прошел курс
студент_81,курс_3,Аналитик продаж,Отдел продаж,муж,45,24,75.56,прошел курс
студент_82,курс_3,Начальник смены,Отдел производства,жен,20,15,74.27529021558873,прошел курс
студент_83,курс_3,Аналитик,Отдел закупок,жен,33,7,74.49419568822555,прошел курс
студент_84,курс_3,Специалист по обучению,Отдел кадров,муж,25,24,74.92371475953566,прошел курс
студент_85,курс_3,Техник по качеству,Отдел качества,муж,25,10,75.73134328358209,прошел курс
студент_86,курс_3,Торговый представитель,Отдел продаж,жен,55,7,75.14427860696517,прошел курс
студент_87,курс_3,Менеджер по качеству,Отдел качества,жен,51,16,74.64444444444445,прошел курс
студент_88,курс_3,Начальник смены,Отдел производства,жен,32,26,74.69642857142857,прошел курс
студент_89,курс_3,Специалист по обучению,Отдел кадров,муж,54,18,76.18573797678275,прошел курс
студент_90,курс_3,Консультант,Отдел продаж,муж,51,21,74.05277777777778,прошел курс
студент_91,курс_3,Торговый представитель,Отдел продаж,муж,43,18,74.47927031509121,прошел курс
студент_92,курс_3,Контролер,Отдел качества,жен,27,24,74.35986733001658,прошел курс
студент_93,курс_3,Техник по качеству,Отдел качества,муж,42,2,74.5,прошел курс
студент_94,курс_3,Специалист по закупкам,Отдел закупок,жен,42,23,74.87728026533996,прошел курс
студент_95,курс_3,Инженер по безопасности,Отдел IT,муж,49,27,,не закончил
студент_96,курс_3,Инженер,Отдел производства,жен,44,12,71.98,прошел курс
студент_97,курс_3,HR-менеджер,Отдел кадров,муж,37,5,75.93200663349917,прошел курс
студент_98,курс_3,Специалист по рекламе,Отдел продаж,муж,59,19,75.27031509121062,прошел курс
студент_99,курс_3,Рекрутер,Отдел кадров,жен,26,19,74.19568822553897,прошел курс
студент_100,курс_3,Системный администратор,Отдел IT,жен,57,15,,не закончил
студент_101,курс_3,Контролер,Отдел качества,жен,42,25,75.02321724709785,прошел курс
студент_102,курс_3,Менеджер по продажам,Отдел продаж,муж,33,30,75.62520729684908,прошел курс
студент_103,курс_3,Аналитик,Отдел закупок,жен,60,22,76.20398009950249,прошел курс
студент_104,курс_3,Инспектор по кадрам,Отдел кадров,жен,24,18,75.4075,прошел курс
студент_105,курс_3,Контролер,Отдел качества,муж,40,28,75.3167495854063,прошел курс
студент_106,курс_3,Контролер,Отдел качества,жен,23,4,76.55389718076285,прошел курс
студент_107,курс_3,Начальник отдела,Отдел качества,жен,26,22,75.22553897180762,прошел курс
студент_108,курс_3,Рекрутер,Отдел кадров,жен,35,24,73.65671641791045,прошел курс
студент_109,курс_3,Консультант,Отдел продаж,муж,54,27,74.24046434494196,прошел курс
студент_110,курс_3,Рабочий,Отдел производства,муж,26,4,74.70315091210614,прошел курс
студент_111,курс_3,Инспектор по кадрам,Отдел кадров,муж,48,6,74.48756218905473,прошел курс
студент_112,курс_3,Инспектор по кадрам,Отдел кадров,муж,20,3,75.56218905472637,прошел курс
студент_113,курс_3,Кладовщик,Отдел закупок,жен,36,28,74.13764510779436,прошел курс
студент_114,курс_3,Консультант,Отдел продаж,муж,31,25,,не закончил
студент_115,курс_3,Аналитик,Отдел закупок,жен,59,17,74.55223880597015,прошел курс
студент_116,курс_3,Инженер,Отдел производства,жен,57,5,75.09121061359868,прошел курс
студент_117,курс_3,Менеджер по продажам,Отдел продаж,муж,57,9,75.84908789386401,прошел курс
студент_118,курс_3,Специалист по обучению,Отдел кадров,жен,24,8,74.9436152570481,прошел курс
студент_119,курс_3,Менеджер по качеству,Отдел качества,жен,35,25,73.93200663349917,прошел курс
студент_120,курс_3,Техник,Отдел производства,жен,51,9,74.51243781094527,прошел курс
студент_121,курс_3,Специалист по рекламе,Отдел продаж,жен,30,18,,не закончил
студент_122,курс_3,Начальник отдела,Отдел IT,жен,37,24,74.44112769485903,прошел курс
студент_123,курс_3,Техник поддержки,Отдел IT,муж,29,15,75.50082918739635,прошел курс
студент_124,курс_3,Инспектор по кадрам,Отдел кадров,жен,46,24,74.82918739635157,прошел курс
студент_125,курс_3,Специалист по закупкам,Отдел закупок,жен,24,1,74.66666666666667,прошел курс
студент_126,курс_3,Кладовщик,Отдел закупок,жен,41,28,74.64344941956882,прошел курс
студент_127,курс_3,Рекрутер,Отдел кадров,муж,22,3,,не закончил
студент_128,курс_3,Рабочий,Отдел производства,жен,39,6,75.38308457711443,прошел курс
студент_129,курс_3,Аналитик продаж,Отдел продаж,муж,20,7,75.95688225538971,прошел курс
студент_130,курс_3,Техник,Отдел производства,муж,53,19,74.58055555555555,прошел курс
студент_131,курс_3,Специалист по обучению,Отдел кадров,жен,39,10,73.54285714285714,прошел курс
студент_132,курс_3,Инженер,Отдел производства,жен,40,20,73.8424543946932,прошел курс
студент_133,курс_3,Начальник смены,Отдел производства,муж,34,14,75.6318407960199,прошел курс
студент_134,курс_3,Начальник смены,Отдел производства,жен,42,26,74.46932006633499,прошел курс
студент_135,курс_3,Контролер,Отдел качества,муж,28,24,74.81757877280265,прошел курс
студент_136,курс_3,Кладовщик,Отдел закупок,муж,23,24,,не закончил
студент_137,курс_3,Инженер по безопасности,Отдел IT,муж,40,27,75.72802653399668,прошел курс
студент_138,курс_3,Рабочий,Отдел производства,жен,33,1,75.40217391304348,прошел курс
студент_139,курс_3,Рабочий,Отдел производства,муж,54,16,74.67330016583747,прошел курс
студент_140,курс_3,Инженер по безопасности,Отдел IT,жен,40,17,75.86235489220564,прошел курс
студент_141,курс_3,Инспектор,Отдел качества,жен,33,5,75.24378109452736,прошел курс
студент_142,курс_3,Техник по качеству,Отдел качества,муж,34,15,75.7910447761194,прошел курс
студент_143,курс_3,Торговый представитель,Отдел продаж,муж,32,8,75.51409618573798,прошел курс
студент_144,курс_3,Техник,Отдел производства,муж,20,15,76.11111111111111,прошел курс
студент_145,курс_3,Специалист по закупкам,Отдел закупок,жен,28,28,,не закончил
студент_146,курс_3,Контролер,Отдел качества,жен,57,18,75.72139303482587,прошел курс
студент_147,курс_3,Консультант,Отдел продаж,муж,33,30,,не закончил
студент_148,курс_3,Мастер,Отдел производства,муж,25,6,74.17578772802653,прошел курс
студент_149,курс_3,Специалист по рекламе,Отдел продаж,жен,33,21,75.57379767827528,прошел курс
студент_150,курс_3,Специалист по обучению,Отдел кадров,муж,46,13,74.80928689883913,прошел курс
студент_151,курс_3,Специалист по закупкам,Отдел закупок,муж,40,27,73.22222222222223,прошел курс
студент_152,курс_3,Техник по качеству,Отдел качества,муж,34,9,74.33167495854063,прошел курс
студент_153,курс_3,Менеджер по снабжению,Отдел закупок,жен,28,6,,не закончил
студент_154,курс_3,Кладовщик,Отдел закупок,муж,40,14,76.212271973466,прошел курс
студент_155,курс_3,Аналитик,Отдел закупок,муж,24,15,75.09286898839137,прошел курс
студент_156,курс_3,Менеджер по продажам,Отдел продаж,жен,33,22,75.1077943615257,прошел курс
студент_157,курс_3,Специалист по рекламе,Отдел продаж,жен,26,30,74.98175787728026,прошел курс
студент_158,курс_3,Начальник смены,Отдел производства,жен,20,18,75.07296849087894,прошел курс
студент_159,курс_3,HR-менеджер,Отдел кадров,муж,43,24,76.18407960199005,прошел курс
студент_160,курс_3,Начальник отдела,Отдел IT,муж,52,3,74.51907131011609,прошел курс
студент_161,курс_3,Инспектор,Отдел качества,жен,43,11,74.90381426202322,прошел курс
студент_162,курс_3,Специалист по обучению,Отдел кадров,жен,47,9,74.85572139303483,прошел курс
студент_163,курс_3,Менеджер по продажам,Отдел продаж,муж,38,26,76.14262023217248,прошел курс
студент_164,курс_3,Техник по качеству,Отдел качества,жен,24,18,75.5804311774461,прошел курс
студент_165,курс_3,Программист,Отдел IT,жен,35,15,75.37058823529412,прошел курс
студент_166,курс_3,Техник поддержки,Отдел IT,муж,37,25,,не закончил
студент_167,курс_3,Системный администратор,Отдел IT,жен,46,22,76.6334991708126,прошел курс
студент_168,курс_3,Инженер,Отдел производства,жен,33,30,74.38971807628523,прошел курс
студент_169,курс_3,HR-менеджер,Отдел кадров,муж,21,3,74.61691542288557,прошел курс
студент_170,курс_3,Логист,Отдел закупок,жен,58,22,,не закончил
студент_171,курс_3,Начальник отдела,Отдел кадров,муж,58,13,75.00663349917082,прошел курс
студент_172,курс_3,Рабочий,Отдел производства,муж,32,25,,не закончил
студент_173,курс_3,Менеджер по продажам,Отдел продаж,муж,29,4,75.00663349917082,прошел курс
студент_174,курс_3,Аналитик продаж,Отдел продаж,жен,42,2,75.10116086235489,прошел курс
студент_175,курс_3,HR-менеджер,Отдел кадров,жен,29,20,74.86069651741293,прошел курс
студент_176,курс_3,Кладовщик,Отдел закупок,жен,53,28,74.71641791044776,прошел курс
студент_177,курс_3,Менеджер по качеству,Отдел качества,жен,24,4,74.40464344941957,прошел курс
студент_178,курс_3,Начальник отдела,Отдел качества,жен,49,16,73.56716417910448,прошел курс
студент_179,курс_3,Техник по качеству,Отдел качества,жен,52,4,75.08955223880596,прошел курс
студент_180,курс_3,Системный администратор,Отдел IT,муж,22,28,74.424543946932,прошел курс
студент_181,курс_3,Менеджер по качеству,Отдел качества,муж,50,12,73.40298507462687,прошел курс
студент_182,курс_3,Начальник отдела,Отдел кадров,жен,60,20,74.5240464344942,прошел курс
студент_183,курс_3,Специалист по рекламе,Отдел продаж,муж,29,22,74.61691542288557,прошел курс
студент_184,курс_3,Техник поддержки,Отдел IT,жен,52,2,,не закончил
студент_185,курс_3,Начальник смены,Отдел производства,жен,46,13,74.93698175787728,прошел курс
студент_186,курс_3,Контролер,Отдел качества,муж,46,18,74.20066334991708,прошел курс
студент_187,курс_3,Начальник смены,Отдел производства,муж,36,23,74.53067993366501,прошел курс
студент_188,курс_3,Инженер,Отдел производства,муж,58,19,74.86235489220564,прошел курс
студент_189,курс_3,Менеджер по продажам,Отдел продаж,жен,36,13,75.02155887230514,прошел курс
студент_190,курс_3,Техник поддержки,Отдел IT,жен,57,21,75.01160862354892,прошел курс
студент_191,курс_3,Начальник отдела,Отдел качества,жен,33,24,75.13101160862355,прошел курс
студент_192,курс_3,Инспектор по кадрам,Отдел кадров,жен,30,7,75.353125,прошел курс
студент_193,курс_3,Менеджер по продажам,Отдел продаж,жен,35,1,74.99004975124379,прошел курс
студент_194,курс_3,Менеджер по снабжению,Отдел закупок,муж,29,4,74.58872305140962,прошел курс
студент_195,курс_3,Техник по качеству,Отдел качества,жен,41,19,74.1592039800995,прошел курс
студент_196,курс_3,Инспектор,Отдел качества,муж,35,18,75.35323383084577,прошел курс
студент_197,курс_3,Рекрутер,Отдел кадров,муж,24,8,73.48258706467662,прошел курс
студент_198,курс_3,Начальник отдела,Отдел IT,муж,55,30,74.92205638474296,прошел курс
студент_199,курс_3,Аналитик,Отдел закупок,жен,52,23,76.7893864013267,прошел курс
студент_200,курс_3,Консультант,Отдел продаж,жен,58,25,76.45439469320067,прошел курс
